-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 02/01/2020 through 05/31/2020 
Location: Latitude  39.7855   Longitude 116.4851 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 125.43 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_RANGE,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
39.78551,116.48511,2020,087,   16.34,  -11.99,  -10.51,   13.03,   -3.31,    4.48
39.78551,116.48511,2020,088,   18.74,  -11.46,  -10.20,   14.83,   -3.91,    5.34
39.78551,116.48511,2020,089,   15.82,   -4.70,   -4.46,   16.69,    0.87,    8.42
39.78551,116.48511,2020,090,   16.19,    0.65,    0.68,   19.12,    2.93,   10.64
39.78551,116.48511,2020,091,   16.18,    2.64,    2.56,   20.05,    3.87,   11.71
39.78551,116.48511,2020,092,   13.29,   -8.13,   -7.49,   16.24,    2.95,    9.37
39.78551,116.48511,2020,093,   18.87,   -7.05,   -6.73,   20.56,    1.70,   10.82
39.78551,116.48511,2020,094,   20.31,   -4.23,   -3.98,   24.59,    4.28,   13.97
39.78551,116.48511,2020,095,   14.35,   -6.82,   -6.29,   17.88,    3.52,   10.18
39.78551,116.48511,2020,096,   18.67,   -1.94,   -1.92,   19.48,    0.81,    9.96
39.78551,116.48511,2020,097,   16.55,    3.28,    3.13,   24.57,    8.02,   15.07
39.78551,116.48511,2020,098,   12.97,   -2.99,   -3.05,   18.49,    5.52,   11.26
39.78551,116.48511,2020,099,   15.14,   -2.17,   -2.15,   17.55,    2.41,    9.70
39.78551,116.48511,2020,100,    8.20,    0.34,    0.34,   11.76,    3.56,    7.37
39.78551,116.48511,2020,101,   11.34,   -0.16,   -0.11,   15.52,    4.18,    9.57
39.78551,116.48511,2020,102,   18.09,   -5.87,   -5.42,   22.59,    4.50,   13.35
39.78551,116.48511,2020,103,   18.10,   -4.60,   -4.34,   24.66,    6.56,   15.01
39.78551,116.48511,2020,104,   21.64,   -3.36,   -3.25,   26.96,    5.32,   16.15
39.78551,116.48511,2020,105,   15.74,    1.32,    1.30,   26.31,   10.58,   17.35
39.78551,116.48511,2020,106,   12.53,    6.95,    6.65,   23.59,   11.05,   16.91
39.78551,116.48511,2020,107,   13.98,    1.69,    1.43,   20.03,    6.04,   13.17
39.78551,116.48511,2020,108,   15.98,    3.19,    3.19,   22.75,    6.77,   14.41
39.78551,116.48511,2020,109,   13.67,    3.10,    2.97,   20.43,    6.76,   14.33
39.78551,116.48511,2020,110,   12.73,    5.89,    5.72,   21.97,    9.24,   15.22
39.78551,116.48511,2020,111,   12.96,   -7.11,   -6.76,   16.43,    3.48,   10.36
39.78551,116.48511,2020,112,   13.85,  -13.40,  -11.55,   13.65,   -0.20,    6.75
39.78551,116.48511,2020,113,   15.80,  -13.34,  -11.47,   15.58,   -0.22,    7.76
39.78551,116.48511,2020,114,   18.43,  -10.67,   -9.43,   19.21,    0.78,   10.01
39.78551,116.48511,2020,115,   27.35,   -6.22,   -5.87,   29.85,    2.50,   16.42
39.78551,116.48511,2020,116,   14.84,   -3.70,   -3.36,   22.02,    7.17,   14.50
39.78551,116.48511,2020,117,   14.24,   -2.20,   -2.12,   22.58,    8.34,   15.35
39.78551,116.48511,2020,118,   19.24,   -0.36,   -0.35,   26.15,    6.92,   16.37
39.78551,116.48511,2020,119,   22.61,    0.42,    0.42,   31.04,    8.43,   19.65
39.78551,116.48511,2020,120,   20.33,    5.11,    4.98,   30.41,   10.08,   20.34
39.78551,116.48511,2020,121,   22.11,    5.21,   14.97,   36.59,   14.48,   24.72
39.78551,116.48511,2020,122,   22.13,    8.05,   16.78,   36.49,   14.37,   25.51
39.78551,116.48511,2020,123,   16.19,   11.95,   18.93,   34.57,   18.37,   25.92
39.78551,116.48511,2020,124,   14.64,   14.10,   17.43,   29.99,   15.35,   20.77
39.78551,116.48511,2020,125,    8.22,    9.22,   11.94,   19.28,   11.06,   14.65
39.78551,116.48511,2020,126,   19.99,    7.90,   13.34,   29.41,    9.43,   18.78
