Date_repor,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
11-02-20,India,SEARO,0,3,0,0,11-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
12-02-20,India,SEARO,0,3,0,0,12-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
13-02-20,India,SEARO,0,3,0,0,13-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
14-02-20,India,SEARO,0,3,0,0,14-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
15-02-20,India,SEARO,0,3,0,0,15-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
16-02-20,India,SEARO,0,3,0,0,16-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
17-02-20,India,SEARO,0,3,0,0,17-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
18-02-20,India,SEARO,0,3,0,0,18-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
19-02-20,India,SEARO,0,3,0,0,19-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
20-02-20,India,SEARO,0,3,0,0,20-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
