Temp
-0.72
-0.96
-3.25
-3.95
-6.83
-5.87
-3.09
-0.76
2.09
3.54
2.59
3.56
3.66
-1.92
-6.14
-4.59
-2.05
1.15
0.82
1.09
2.17
1.43
2.63
3.36
3.87
2.1
1.34
2.3
1.16
2.51
2.66
0.94
-0.9
1.44
3.29
5.76
3.77
5.38
4.03
6.2
5.72
3.73
6.36
8.2
6.84
11.48
12.45
8.46
11.09
9.99
11.8
11.96
10.69
15.17
7.15
4.48
5.34
8.42
10.64
11.71
9.37
10.82
13.97
10.18
9.96
15.07
11.26
9.7
7.37
9.57
13.35
15.01
16.15
17.35
16.91
13.17
14.41
14.33
15.22
10.36
6.75
7.76
10.01
16.42
14.5
15.35
16.37
19.65
20.34
24.72
25.51
25.92
20.77
14.65
18.78
19.25
17.55
13.72
16.97
18.31
19.81
19.58
21.72
23.28
19.48
18.78
15.16
18.33
21.6
22.62
18.52
22.31
20.32
21.81
18.62
20.25
21.6
23.63
22.3
